fan_id,age,country,country_region,income_level,gdp_per_capita_usd,distance_to_host_city_km,nearest_host_city,nearest_host_country,favorite_team_qualified,previous_worldcup_attendance,football_engagement_score,social_media_engagement,ticket_search_count,flight_search_count,hotel_search_count,estimated_trip_cost,visa_required,days_until_match,match_importance,campaign_cost_usd,potential_net_revenue_usd,expected_value_usd,travel_probability_synthetic,will_travel
67,72,China,Asia,Medium,12500,10321.1,Vancouver,Canada,1,0,59.0,83.5,3,0,3,2715.54,1,62,Group,7.12,762.23,55.08,0.0816,0
68,56,Japan,Asia,High,40000,7892.2,Vancouver,Canada,1,1,74.3,75.3,2,2,3,2273.04,0,195,Group,9.6,362.06,280.3,0.8007,0
69,67,United States,North America,High,76330,320.3,Kansas City,USA,1,0,66.0,90.7,2,1,3,150.0,0,278,Round of 32,6.8,62.09,42.1,0.7875,1
70,20,China,Asia,Medium,12500,10211.3,Vancouver,Canada,1,0,42.0,84.0,3,0,0,2859.93,1,220,Quarter-final,7.47,1599.7,245.12,0.1579,0
71,79,France,Europe,High,44500,6075.3,Boston,USA,1,0,85.6,87.7,0,4,1,1125.8,0,317,Group,7.99,199.49,153.04,0.8072,1
72,34,China,Asia,Medium,12500,9484.3,Vancouver,Canada,0,1,53.6,66.0,3,0,1,2871.27,1,213,Group,10.71,1054.15,166.49,0.1681,0
73,32,India,Asia,Low,2400,13040.0,Vancouver,Canada,0,1,70.1,100.0,1,3,1,2808.72,1,166,Group,9.55,682.52,72.97,0.1209,0
74,27,Spain,Europe,High,31000,5606.4,Boston,USA,1,0,81.7,63.8,3,1,1,1680.45,0,352,Quarter-final,12.0,935.34,758.63,0.8239,1
75,24,United States,North America,High,76330,323.9,Kansas City,USA,1,0,100.0,80.9,7,7,2,150.0,0,73,Final,9.11,77.98,68.28,0.9924,1
76,37,Japan,Asia,High,40000,8357.5,Vancouver,Canada,1,1,70.4,74.3,1,1,0,2622.64,0,309,Quarter-final,5.87,1091.01,979.2,0.9029,1
77,44,Japan,Asia,High,40000,8649.1,Vancouver,Canada,0,0,83.9,74.8,3,0,1,2224.82,0,218,Semi-final,9.66,1224.26,1020.55,0.8415,1
78,55,India,Asia,Low,2400,12018.7,Vancouver,Canada,0,1,64.1,67.0,3,2,1,2673.2,1,26,Group,12.83,649.44,44.45,0.0882,0
79,57,China,Asia,Medium,12500,9037.3,Vancouver,Canada,0,0,65.9,50.5,4,3,1,3320.18,1,261,Quarter-final,8.07,1379.96,594.97,0.437,0
80,20,India,Asia,Low,2400,11325.3,Vancouver,Canada,0,0,44.2,30.5,3,3,1,2698.43,1,54,Group,12.05,894.49,29.9,0.0469,0
81,47,India,Asia,Low,2400,11666.6,Vancouver,Canada,0,0,71.3,100.0,1,1,2,3121.08,1,49,Group,7.99,866.98,64.92,0.0841,0
82,56,China,Asia,Medium,12500,8737.1,Vancouver,Canada,0,0,50.0,44.8,1,1,0,2016.02,1,271,Group,10.12,616.59,42.91,0.086,0
83,31,India,Asia,Low,2400,13062.2,Vancouver,Canada,0,0,48.4,23.6,2,0,0,2220.87,1,291,Group,10.39,682.74,-5.0,0.0079,0
84,29,Colombia,South America,Medium,6100,2519.7,Miami,USA,1,1,79.4,96.3,4,4,3,658.8,1,11,Group,9.22,134.87,93.28,0.76,1
85,69,United States,North America,High,76330,335.2,Kansas City,USA,1,0,69.0,67.8,1,3,3,150.0,0,151,Round of 16,10.05,57.85,40.54,0.8745,1
86,25,Mexico,North America,Medium,10700,330.0,Monterrey,Mexico,1,0,79.0,52.3,6,1,0,150.0,0,193,Round of 32,10.07,38.13,14.68,0.6492,0
87,40,India,Asia,Low,2400,11144.4,Vancouver,Canada,0,0,60.3,87.8,0,4,2,2887.82,1,241,Group,10.59,661.28,28.09,0.0585,0
88,49,China,Asia,Medium,12500,8215.4,Vancouver,Canada,0,0,56.7,54.0,3,2,1,2322.85,1,361,Group,6.4,618.11,116.42,0.1987,1
89,23,Colombia,South America,Medium,6100,2341.4,Miami,USA,1,0,80.6,71.3,4,2,2,556.4,1,121,Group,8.68,131.42,58.32,0.5098,0
90,72,China,Asia,Medium,12500,9650.3,Vancouver,Canada,0,0,65.6,95.9,0,1,0,2546.2,1,187,Semi-final,10.31,729.21,313.31,0.4438,0
91,62,Argentina,South America,Medium,11000,6537.9,Miami,USA,1,0,99.8,100.0,8,5,2,1775.39,1,255,Group,7.97,376.9,315.45,0.8581,1
92,77,India,Asia,Low,2400,11573.6,Vancouver,Canada,0,0,74.7,67.6,1,4,5,4077.63,1,242,Final,10.56,1646.61,751.0,0.4625,1
93,78,China,Asia,Medium,12500,8127.6,Vancouver,Canada,0,0,44.5,32.0,1,2,2,2305.57,1,203,Group,13.11,781.2,64.15,0.0989,0
94,72,China,Asia,Medium,12500,9119.0,Vancouver,Canada,0,0,54.9,70.5,3,0,0,2089.1,1,75,Group,7.56,512.84,51.57,0.1153,0
95,27,Japan,Asia,High,40000,8246.2,Vancouver,Canada,1,0,100.0,60.4,6,0,1,2437.89,0,340,Final,10.75,1077.57,1003.35,0.9411,1
96,50,India,Asia,Low,2400,12548.4,Vancouver,Canada,0,0,14.1,0.0,1,1,0,2852.06,1,19,Round of 32,5.51,717.45,21.32,0.0374,0
97,50,China,Asia,Medium,12500,9453.2,Vancouver,Canada,1,0,89.5,91.0,2,4,3,2024.36,1,64,Group,6.5,580.56,94.05,0.1732,1
98,76,Mexico,North America,Medium,10700,311.6,Monterrey,Mexico,1,1,88.2,85.7,6,1,3,150.0,0,246,Final,12.65,86.09,69.07,0.9492,1
99,72,Brazil,South America,Medium,8900,5415.5,Miami,USA,1,1,100.0,100.0,6,2,0,1363.92,1,79,Group,10.08,278.89,206.98,0.7783,1
100,77,Egypt,Africa,Low,4000,7927.9,Boston,USA,1,0,81.2,85.0,6,2,4,2562.61,1,235,Group,7.94,818.9,211.36,0.2678,1
101,79,Saudi Arabia,Asia,High,23000,10670.6,Boston,USA,0,0,71.2,24.1,1,2,3,2404.54,1,160,Round of 16,9.97,1084.68,110.75,0.1113,0
102,74,India,Asia,Low,2400,13825.9,Vancouver,Canada,0,1,78.1,66.9,5,2,0,3703.68,1,276,Round of 32,11.38,1094.3,72.77,0.0769,1
103,40,Turkey,Europe,Medium,9800,7344.1,Boston,USA,0,0,67.8,63.6,2,1,1,1888.32,1,54,Round of 16,7.67,573.46,322.64,0.576,0
104,37,Egypt,Africa,Low,4000,8996.5,Boston,USA,0,0,97.7,85.7,1,4,2,2373.5,1,364,Quarter-final,10.31,1061.67,306.28,0.2982,0
105,73,India,Asia,Low,2400,12065.8,Vancouver,Canada,0,0,21.7,62.1,0,1,0,3004.21,1,262,Group,13.41,929.05,37.04,0.0543,0
106,58,India,Asia,Low,2400,14439.2,Vancouver,Canada,0,0,76.4,76.9,5,4,3,3326.83,1,133,Round of 32,9.09,1118.49,166.85,0.1573,1
107,64,China,Asia,Medium,12500,10124.3,Vancouver,Canada,0,1,65.0,51.1,3,2,1,2461.14,1,319,Round of 16,10.75,1074.88,153.17,0.1525,0
108,21,Turkey,Europe,Medium,9800,8191.9,Boston,USA,1,0,84.9,91.8,2,2,1,2548.77,1,61,Final,6.13,1500.63,1040.11,0.6972,1
109,64,Mexico,North America,Medium,10700,319.9,Monterrey,Mexico,1,1,79.9,63.9,2,2,2,150.0,0,257,Quarter-final,8.67,70.55,54.68,0.898,1
110,48,India,Asia,Low,2400,11523.9,Vancouver,Canada,0,0,62.5,82.0,2,3,3,2945.13,1,175,Semi-final,7.78,1293.99,266.55,0.212,0
111,63,China,Asia,Medium,12500,8426.6,Vancouver,Canada,0,1,64.2,62.6,2,2,0,2045.27,1,198,Group,9.33,601.57,186.12,0.3249,0
112,44,Germany,Europe,High,51500,6299.7,Boston,USA,1,0,78.1,67.5,5,0,2,1611.42,0,71,Group,12.56,377.66,309.4,0.8525,1
113,43,Japan,Asia,High,40000,7626.3,Vancouver,Canada,1,1,67.1,70.7,4,3,1,1631.36,0,191,Round of 32,5.11,384.11,301.03,0.797,1
114,50,China,Asia,Medium,12500,9205.2,Vancouver,Canada,0,0,49.5,35.9,3,0,0,2260.43,1,81,Group,9.47,490.94,58.28,0.138,0
115,51,Peru,South America,Medium,6600,4211.3,Miami,USA,0,0,62.9,53.4,1,1,1,1270.97,1,89,Semi-final,12.05,681.87,299.63,0.4571,1
116,63,India,Asia,Low,2400,11428.3,Vancouver,Canada,0,0,45.0,57.3,1,3,1,2534.58,1,240,Round of 16,10.08,718.97,18.68,0.04,0
117,39,India,Asia,Low,2400,10452.0,Vancouver,Canada,0,0,48.1,78.9,2,1,1,2325.66,1,6,Group,9.52,660.47,26.81,0.055,0
118,21,India,Asia,Low,2400,11830.9,Vancouver,Canada,1,0,47.4,53.9,2,2,2,2346.49,1,270,Round of 32,7.01,600.63,25.72,0.0545,0
119,40,China,Asia,Medium,12500,10569.5,Vancouver,Canada,0,0,86.1,100.0,1,4,0,3062.94,1,352,Group,9.2,774.43,97.21,0.1374,0
120,53,India,Asia,Low,2400,11756.3,Vancouver,Canada,0,1,62.3,25.2,1,3,0,2294.39,1,285,Group,8.57,596.04,18.43,0.0453,0
121,74,China,Asia,Medium,12500,9153.8,Vancouver,Canada,1,0,84.8,84.0,2,3,4,2033.16,1,114,Group,12.57,478.99,177.06,0.3959,0
122,43,India,Asia,Low,2400,11789.8,Vancouver,Canada,0,1,57.0,29.0,2,0,1,3312.16,1,371,Quarter-final,11.83,1129.4,163.57,0.1553,1
123,55,Mexico,North America,Medium,10700,283.2,Monterrey,Mexico,1,0,100.0,94.5,6,7,5,150.0,0,364,Group,7.35,53.35,44.2,0.9663,1
124,51,China,Asia,Medium,12500,7806.6,Vancouver,Canada,1,1,68.0,53.1,2,5,0,1579.43,1,115,Round of 32,10.08,343.26,140.89,0.4398,0
125,21,United States,North America,High,76330,336.7,Kansas City,USA,1,0,84.4,91.4,3,1,3,150.0,0,122,Group,8.38,52.28,40.66,0.938,1
126,47,China,Asia,Medium,12500,7664.7,Vancouver,Canada,0,0,80.7,78.2,4,6,2,1450.41,1,72,Quarter-final,10.89,330.17,112.53,0.3738,1
127,23,China,Asia,Medium,12500,9635.9,Vancouver,Canada,1,0,38.7,22.7,1,1,1,2614.54,1,149,Round of 32,9.58,895.13,29.54,0.0437,0
128,39,Brazil,South America,Medium,8900,5584.7,Miami,USA,1,0,81.2,100.0,0,4,1,2073.48,1,244,Group,8.65,429.36,202.72,0.4923,0
129,40,Mexico,North America,Medium,10700,311.0,Monterrey,Mexico,1,0,64.9,96.8,3,2,4,150.0,0,60,Round of 32,11.49,39.62,17.68,0.7362,0
130,54,China,Asia,Medium,12500,8968.3,Vancouver,Canada,0,0,85.3,96.4,4,1,4,2418.67,1,310,Group,13.12,774.17,127.7,0.1819,0
131,44,Chile,South America,Medium,15000,6263.4,Mexico City,Mexico,0,0,82.2,73.8,4,2,1,1343.39,0,319,Group,10.88,515.16,258.86,0.5236,1
132,23,Nigeria,Africa,Low,2100,9288.8,Boston,USA,0,0,57.8,44.2,4,0,2,1843.16,1,99,Round of 32,9.93,545.4,93.1,0.1889,0
133,61,China,Asia,Medium,12500,9096.8,Vancouver,Canada,0,1,65.6,100.0,3,2,2,1507.56,1,238,Group,11.43,293.0,69.03,0.2746,1
134,62,China,Asia,Medium,12500,9045.5,Vancouver,Canada,1,0,60.1,60.8,2,3,1,2155.23,1,30,Group,11.43,728.51,94.64,0.1456,1
135,73,China,Asia,Medium,12500,11900.9,Vancouver,Canada,0,0,63.2,50.7,1,0,1,2228.69,1,174,Round of 32,10.69,772.71,96.56,0.1388,0
136,25,United States,North America,High,76330,339.7,Kansas City,USA,1,0,96.3,100.0,3,2,1,150.0,0,109,Round of 16,5.59,46.58,37.34,0.9217,1
137,61,Egypt,Africa,Low,4000,9984.7,Boston,USA,0,0,68.7,45.6,4,5,3,2417.66,1,244,Quarter-final,12.26,782.89,235.68,0.3167,0
138,31,China,Asia,Medium,12500,9886.7,Vancouver,Canada,1,1,74.8,33.9,2,1,1,2730.13,1,6,Group,9.61,453.78,173.17,0.4028,0
139,18,India,Asia,Low,2400,12446.2,Vancouver,Canada,0,0,45.9,7.2,0,2,0,2252.12,1,153,Group,6.64,623.04,37.41,0.0707,0
140,48,Mexico,North America,Medium,10700,348.5,Monterrey,Mexico,1,1,69.2,100.0,2,0,6,150.0,0,89,Semi-final,12.78,63.52,45.14,0.9119,0
141,58,China,Asia,Medium,12500,9024.6,Vancouver,Canada,0,1,75.6,57.6,1,1,1,2197.64,1,380,Final,12.68,1180.15,770.82,0.6639,0
142,19,China,Asia,Medium,12500,8723.0,Vancouver,Canada,0,0,56.9,1.9,3,2,1,1957.46,1,257,Group,13.08,500.73,194.22,0.414,0
143,62,Nigeria,Africa,Low,2100,8862.9,Boston,USA,0,0,63.2,37.0,2,3,1,1738.69,1,144,Group,9.16,548.12,115.21,0.2269,0
144,32,China,Asia,Medium,12500,9167.4,Vancouver,Canada,0,0,68.9,69.2,4,3,3,1938.9,1,357,Group,6.5,620.22,86.04,0.1492,0
145,78,China,Asia,Medium,12500,10035.9,Vancouver,Canada,0,1,79.1,80.3,4,1,2,2062.53,1,86,Group,8.21,669.45,197.85,0.3078,0
146,45,Turkey,Europe,Medium,9800,8878.7,Boston,USA,1,0,70.8,55.9,1,3,2,2120.76,1,24,Round of 32,7.58,746.0,516.86,0.703,1
147,63,China,Asia,Medium,12500,8833.2,Vancouver,Canada,0,0,61.0,29.0,2,2,2,2253.31,1,319,Round of 32,11.9,818.89,133.45,0.1775,0
148,36,China,Asia,Medium,12500,9613.2,Vancouver,Canada,0,0,44.6,56.6,1,2,0,1865.19,1,219,Quarter-final,9.6,801.0,156.13,0.2069,0
149,31,China,Asia,Medium,12500,8294.5,Vancouver,Canada,0,0,49.9,78.4,2,1,3,2413.16,1,229,Group,11.02,778.94,117.66,0.1652,1
150,77,United States,North America,High,76330,353.1,Kansas City,USA,1,1,90.6,93.5,2,3,4,150.0,0,360,Semi-final,9.15,81.85,72.0,0.9914,1
151,38,India,Asia,Low,2400,10163.0,Vancouver,Canada,0,0,42.1,38.4,1,3,2,2875.51,1,12,Group,10.09,925.29,18.04,0.0304,0
152,76,India,Asia,Low,2400,12847.1,Vancouver,Canada,0,0,57.2,59.8,2,1,3,3568.71,1,319,Semi-final,10.85,915.64,48.12,0.0644,0
153,28,Brazil,South America,Medium,8900,4976.7,Miami,USA,1,1,100.0,100.0,1,1,3,1165.29,1,358,Round of 16,8.43,452.22,395.95,0.8942,0
154,75,China,Asia,Medium,12500,8640.0,Vancouver,Canada,0,0,87.0,100.0,4,4,2,2421.29,1,229,Round of 32,6.84,832.43,255.21,0.3148,0
155,63,Brazil,South America,Medium,8900,5844.9,Miami,USA,1,0,99.5,100.0,3,3,2,1842.77,1,101,Round of 16,8.47,538.61,389.02,0.738,1
156,38,India,Asia,Low,2400,11149.0,Vancouver,Canada,0,0,47.0,57.8,1,0,1,3659.28,1,41,Semi-final,7.21,2001.64,384.51,0.1957,0
157,65,Japan,Asia,High,40000,7105.5,Vancouver,Canada,1,1,64.6,45.4,2,2,2,1804.76,0,191,Quarter-final,10.02,691.0,575.6,0.8475,1
158,61,India,Asia,Low,2400,11775.1,Vancouver,Canada,0,0,70.5,77.5,2,1,2,3792.85,1,308,Round of 32,6.46,1187.21,49.22,0.0469,0
159,38,India,Asia,Low,2400,11287.7,Vancouver,Canada,0,0,49.1,47.1,3,2,1,2132.88,1,156,Group,10.16,469.42,21.48,0.0674,0
160,25,India,Asia,Low,2400,13575.2,Vancouver,Canada,0,0,45.6,67.7,4,4,3,3217.75,1,153,Round of 32,7.86,809.87,2.18,0.0124,0
161,75,Brazil,South America,Medium,8900,4923.4,Miami,USA,1,0,97.0,71.9,5,1,0,1524.51,1,347,Semi-final,11.6,645.15,505.94,0.8022,1
162,43,Nigeria,Africa,Low,2100,8766.6,Boston,USA,0,0,63.3,43.3,1,2,2,1995.23,1,342,Group,7.08,499.78,112.52,0.2393,0
163,51,Spain,Europe,High,31000,5715.8,Boston,USA,1,0,90.5,96.0,4,3,0,2043.39,0,241,Group,11.35,701.56,527.8,0.7685,0
164,24,United States,North America,High,76330,373.0,Kansas City,USA,1,0,91.2,86.9,3,3,2,150.0,0,37,Semi-final,5.05,62.13,53.99,0.9502,1
165,72,China,Asia,Medium,12500,9008.4,Vancouver,Canada,1,0,71.0,43.1,3,4,1,2845.53,1,207,Round of 32,13.24,1021.28,293.35,0.3002,0
166,20,China,Asia,Medium,12500,9033.6,Vancouver,Canada,0,1,62.8,58.4,3,0,1,2451.91,1,300,Group,5.56,473.23,231.81,0.5016,1
